;PROGRAMACION DE VUELOS   VERSION 5 EMITIDA A LAS 16:20 LT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06/10/2016;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIERNES;AYD;;;;;;;;;;;;;;;;;;;AEP;08:00;610;09:45;IGR;01:00;IGR;10:45;TRASL;12:30;AEP;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;11:00;01:45;12:45;;;;13:45;01:45;15:30;;;;;;;;;;;;;;
;CCJ;;;;;;;BRC;12:30;653;14:10;LUQ;01:00;LUQ;15:10;654;16:50;BRC;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;15:30;01:40;17:10;;;;18:10;01:40;19:50;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;JUJ;07:30;851;07:50;SLA;00:30;SLA;08:20;851;10:20;AEP;02:00;AEP;12:20;550;14:15;PMY;01:05;PMY;15:20;551;17:05;AEP;;AEP;17:50;856;20:00;SLA;00:30;SLA;20:30;856;20:50;JUJ;;;;;;;
;Y165;;10:30;00:20;10:50;;;;11:20;02:00;13:20;;;;15:20;01:55;17:15;;;;18:20;01:45;20:05;;;;20:50;02:10;23:00;;;;23:30;00:20;23:50;;;;;;;;
;WGN;;;;;;;LIM;01:30;690;07:50;EZE;01:00;EZE;08:50;;09:10;AEP;01:00;AEP;10:10;660;12:30;BRC;01:00;BRC;13:30;661;15:30;AEP;;;;;;;;;;;;;
;Y165;;;;;;;;06:30;04:20;10:50;;;;11:50;00:20;12:10;;;;13:10;02:20;15:30;;;;16:30;02:00;18:30;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABADO;AYD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;BRC;11:30;641;13:30;ROS;01:00;ROS;14:30;640;16:45;BRC;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;14:30;02:00;16:30;;;;17:30;02:15;19:45;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;JUJ;08:30;851;08:50;SLA;00:30;SLA;09:20;851;11:20;AEP;;AEP;13:00;664;15:20;BRC;01:00;BRC;16:20;665;18:20;AEP;;;;;;;;;;;;;;;;;;;
0;Y165;;11:30;00:20;11:50;;;;12:20;02:00;14:20;;;;16:00;02:20;18:20;;;;19:20;02:00;21:20;;;;;;;;;;;;;;;;;;;;
;WGN;;;;;;;AEP;08:00;612;09:15;BHI;01:00;BHI;10:15;612;11:45;BRC;01:00;BRC;12:45;661;14:45;AEP;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;11:00;01:15;12:15;;;;13:15;01:30;14:45;;;;15:45;02:00;17:45;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOMINGO;AYD;;;;;;;AEP;08:00;614;09:55;PMY;01:00;PMY;10:55;614;12:10;BRC;01:00;BRC;13:10;661;15:10;AEP;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;11:00;01:55;12:55;;;;13:55;01:15;15:10;;;;16:10;02:00;18:10;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;BRC;10:00;631;12:45;RES;01:00;RES;13:45;630;16:45;BRC;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;13:00;02:45;15:45;;;;16:45;03:00;19:45;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
