PROGRAMACION DE VUELOS         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIERNES;WGN;AEP;12:20;660;14:40;BRC;01:00;BRC;15:40;611;17:35;MDQ;01:00;MDQ;18:35;TRASL;19:30;AEP;01:00;AEP;20:30;662;22:50;BRC;01:00;BRC;23:50;665;01:50;AEP;;;;;;;;;;;;;
;Y165;;15:20;02:20;17:40;;;;18:40;01:55;20:35;;;;21:35;00:55;22:30;;;;23:30;02:20;01:50;;;;02:50;02:00;04:50;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;12:02;663;14:02;AEP;01:00;AEP;15:02;TRASL;16:22;RES;01:00;RES;17:22;630;20:22;BRC;;;;;;;;;;;;;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;15:02;02:00;17:02;;;;18:02;01:20;19:22;;;;20:22;03:00;23:22;;;;;;;;;;;;;;;;;;;;
;AYD;JUJ;11:58;651;12:18;SLA;00:30;SLA;12:48;851;14:48;AEP;01:00;AEP;15:48;550;17:43;PMY;01:00;PMY;18:43;551;20:28;AEP;01:00;AEP;21:28;856;23:38;SLA;00:30;SLA;00:08;656;00:28;JUJ;;;;;;;
;Y165;;14:58;00:20;15:18;;;;15:48;02:00;17:48;;;;18:48;01:55;20:43;;;;21:43;01:45;23:28;;;;00:28;02:10;02:38;;;;03:08;00:20;03:28;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABADO;WGN;;;;;;;AEP;10:00;666;12:20;BRC;01:00;BRC;13:20;661;15:20;AEP;01:00;AEP;16:20;660;18:40;BRC;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;13:00;02:20;15:20;;;;16:20;02:00;18:20;;;;19:20;02:20;21:40;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
