;;;;;PROGRAMACION DE VUELOS   VERSION 4 EMITIDA A LAS 16:10 LT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/09/2016;;;;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABADO;AYD;JUJ;08:30;651;08:50;SLA;00:30;SLA;09:20;851;11:20;AEP;01:00;AEP;12:20;664;14:40;BRC;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;11:30;00:20;11:50;;;;12:20;02:00;14:20;;;;15:20;02:20;17:40;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;08:00;631;10:45;RES;01:00;RES;11:45;630;14:45;BRC;01:00;BRC;15:45;665;17:45;AEP;;;;;;;;;;;;;;;;;;;;
OCTUBRE;Y165;;;;;;;;11:00;02:45;13:45;;;;14:45;03:00;17:45;;;;18:45;02:00;20:45;;;;;;;;;;;;;;;;;;;;;
;WGN;;;;;;;AEP;08:00;660;10:20;BRC;01:00;BRC;11:20;661;13:20;AEP;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;11:00;02:20;13:20;;;;14:20;02:00;16:20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOMINGO;AYD;;;;;;;BRC;08:30;679;11:15;SLA;01:00;SLA;12:15;679;12:55;SDE;01:00;SDE;13:55;674;16:25;BRC;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;11:30;02:45;14:15;;;;15:15;00:40;15:55;;;;16:55;02:30;19:25;;;;;;;;;;;;;;;;;;;;;
