PROGRAMACION DE VUELOS         VERSION 14 EMITIDA  13:30 LT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/09/2016;;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SABADO;WGN;;;;;;;AEP;10:00;666;12:20;BRC;01:00;BRC;13:20;661;15:20;AEP;01:00;AEP;16:20;660;18:40;BRC;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;13:00;02:20;15:20;;;;16:20;02:00;18:20;;;;19:20;02:20;21:40;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;10:00;679;12:45;SLA;01:00;SLA;13:45;679;14:25;SDE;01:00;SDE;15:25;675;17:55;BRC;;;;;;;;;;;;;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;13:00;02:45;15:45;;;;16:45;00:40;17:25;;;;18:25;02:30;20:55;;;;;;;;;;;;;;;;;;;;
;AYD;JUJ;12:45;651;13:05;SLA;00:30;SLA;13:35;851;15:35;AEP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;15:45;00:20;16:05;;;;16:35;02:00;18:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOMINGO;WGN;;;;;;;;;;;;;;;;;;;BRC;19:00;661;21:00;AEP;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;22:00;02:00;00:00;;;;;;;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;10:00;651;11:50;UAQ;01:00;UAQ;12:50;650;15:00;BRC;;;;;;;;;;;;;;;;;;;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;13:00;01:50;14:50;;;;15:50;02:10;18:00;;;;;;;;;;;;;;;;;;;;;;;;;;
